stamp,ori_x,ori_y,ori_z,ori_w
1756981205.83674,0.0,0.0,0.0,1.0
1756981205.836755,0.0,0.0,0.0,1.0
1756981205.8367698,0.0,0.0,0.0,1.0
1756981205.8367853,0.0,0.0,0.0,1.0
1756981205.8642902,0.0,0.0,0.0,1.0
1756981205.8643274,0.0,0.0,0.0,1.0
1756981205.8643503,0.0,0.0,0.0,1.0
1756981205.8643692,0.0,0.0,0.0,1.0
1756981205.864386,0.0,0.0,0.0,1.0
1756981205.8644023,0.0,0.0,0.0,1.0
1756981205.8644195,0.0,0.0,0.0,1.0
1756981205.870058,0.0,0.0,0.0,1.0
1756981205.870107,0.0,0.0,0.0,1.0
1756981205.8701396,0.0,0.0,0.0,1.0
1756981205.8701687,0.0,0.0,0.0,1.0
1756981205.8701944,0.0,0.0,0.0,1.0
1756981205.8702195,0.0,0.0,0.0,1.0
1756981205.870245,0.0,0.0,0.0,1.0
1756981205.8793902,0.0,0.0,0.0,1.0
1756981205.8891485,0.0,0.0,0.0,1.0
1756981205.8891697,0.0,0.0,0.0,1.0
1756981205.889179,0.0,0.0,0.0,1.0
1756981205.8892515,0.0,0.0,0.0,1.0
1756981205.8892643,0.0,0.0,0.0,1.0
1756981205.8892725,0.0,0.0,0.0,1.0
1756981205.8892853,0.0,0.0,0.0,1.0
1756981205.9132206,0.0,0.0,0.0,1.0
1756981205.9132411,0.0,0.0,0.0,1.0
1756981205.9132502,0.0,0.0,0.0,1.0
1756981205.9132934,0.0,0.0,0.0,1.0
1756981205.913302,0.0,0.0,0.0,1.0
1756981205.9133108,0.0,0.0,0.0,1.0
1756981205.913351,0.0,0.0,0.0,1.0
1756981205.9290764,0.0,0.0,0.0,1.0
1756981205.929103,0.0,0.0,0.0,1.0
